,id,tag_name,name_long,name_abbr,active,flow_order,critical_point_types,sub_types,tags
0,12,ahu,Air Handling Unit,AHU,True,2,"[79, 85, 103, 159, 160]","[{'id': 1, 'equipment_type_id': 12, 'tag_name': 'erv', 'name_long': 'Energy Recovery Ventilation Unit', 'name_abbr': 'ERV'}, {'id': 2, 'equipment_type_id': 12, 'tag_name': 'mau', 'name_long': 'Make Up Air Unit', 'name_abbr': 'MAU'}, {'id': 3, 'equipment_type_id': 12, 'tag_name': 'rtu', 'name_long': 'Roof Top Unit', 'name_abbr': 'RTU'}]","['hvac', 'ahu']"
1,19,boiler,Boiler,BLR,True,1,"[88, 131, 92, 167, 121]","[{'id': 4, 'equipment_type_id': 19, 'tag_name': 'hotWaterBoiler', 'name_long': 'Hot Water Boiler', 'name_abbr': 'BLR'}, {'id': 5, 'equipment_type_id': 19, 'tag_name': 'steamBoiler', 'name_long': 'Steam Boiler', 'name_abbr': 'BLR'}]","['hvac', 'boiler']"
2,20,chilledWaterPlant,Chilled Water Plant,CHWS,True,1,"[89, 132, 93, 116, 108]",[],"['hvac', 'chilledWaterPlant']"
3,21,chiller,Chiller,CH,True,1,"[89, 132, 93, 167, 121]","[{'id': 7, 'equipment_type_id': 21, 'tag_name': 'centrifugalChiller', 'name_long': 'Centrifugal Chiller', 'name_abbr': 'CH'}, {'id': 8, 'equipment_type_id': 21, 'tag_name': 'reciprocalChiller', 'name_long': 'Reciprocal Chiller', 'name_abbr': 'CH'}, {'id': 9, 'equipment_type_id': 21, 'tag_name': 'screwChiller', 'name_long': 'Screw Chiller', 'name_abbr': 'CH'}, {'id': 6, 'equipment_type_id': 21, 'tag_name': 'absorptionChiller', 'name_long': 'Absorption Chiller', 'name_abbr': 'CH'}]","['hvac', 'chiller']"
4,22,condenser,Condenser,COND,True,1,[121],[],"['hvac', 'condenser']"
5,23,coolingTower,Cooling Tower,CT,True,1,"[89, 132, 93, 116]",[],"['hvac', 'coolingTower']"
6,25,evaporator,Evaporator,EVAP,True,1,[121],[],"['hvac', 'evaporator']"
7,26,fan,Fan,FAN,True,4,"[166, 121, 158]","[{'id': 12, 'equipment_type_id': 26, 'tag_name': 'exhaustFan', 'name_long': 'Exhaust Fan', 'name_abbr': 'EFN'}, {'id': 13, 'equipment_type_id': 26, 'tag_name': 'reliefFan', 'name_long': 'Relief Fan', 'name_abbr': 'RlFN'}, {'id': 14, 'equipment_type_id': 26, 'tag_name': 'returnFan', 'name_long': 'Return Fan', 'name_abbr': 'RFN'}, {'id': 15, 'equipment_type_id': 26, 'tag_name': 'supplyFan', 'name_long': 'Supply Fan', 'name_abbr': 'SFN'}, {'id': 27, 'equipment_type_id': 26, 'tag_name': 'boosterFan', 'name_long': 'Booster Fan', 'name_abbr': 'BFN'}, {'id': 28, 'equipment_type_id': 26, 'tag_name': 'coolingTowerFan', 'name_long': 'Cooling Tower Fan', 'name_abbr': 'CTFN'}]","['hvac', 'fan']"
8,9,fcu,Fan Coil Unit,FCU,True,3,"[79, 77, 122, 159, 160]",[],"['hvac', 'fcu']"
9,28,heatExchanger,Heat Exchanger,HX,True,1,"[88, 92, 183]",[],"['hvac', 'heatExchanger']"
10,29,heatPump,Heat Pump,HP,True,1,"[79, 77, 122, 121]",[],"['hvac', 'dxHeating', 'dxCooling', 'heatPump']"
11,30,hotWaterPlant,Hot Water Plant,HWS,True,1,"[88, 131, 92, 115, 107]","[{'id': 43, 'equipment_type_id': 30, 'tag_name': 'domesticHotWaterPlant', 'name_long': 'Domestic Hot Water Plant', 'name_abbr': 'DHSYS'}]","['hvac', 'hotWaterPlant']"
