timestamp,DW_Pump_1_03_Status,DW_Pump_2_01_Status,Fire Pump Status,Sump Pump Status
2018-11-16T05:00:00Z,,,0.0,
2018-11-16T05:00:25Z,,,,1.0
2018-11-16T05:00:35Z,,,,0.0
2018-11-16T05:05:16Z,,,,1.0
2018-11-16T05:05:27Z,,,,0.0
2018-11-16T05:07:28Z,,,,1.0
2018-11-16T05:07:37Z,,,,0.0
2018-11-16T05:11:39Z,,,,1.0
2018-11-16T05:11:49Z,,,,0.0
2018-11-16T05:15:00Z,,,0.0,
2018-11-16T05:16:41Z,,,,1.0
2018-11-16T05:16:51Z,,,,0.0
2018-11-16T05:24:54Z,,,,1.0
2018-11-16T05:25:03Z,,,,0.0
2018-11-16T05:30:00Z,,,0.0,
2018-11-16T05:38:09Z,1.0,,,
2018-11-16T05:39:31Z,0.0,,,
2018-11-16T05:42:55Z,1.0,,,
2018-11-16T05:44:27Z,0.0,,,
2018-11-16T05:45:00Z,,,0.0,
2018-11-16T05:45:58Z,1.0,,,
2018-11-16T05:49:22Z,0.0,,,
2018-11-16T05:57:46Z,,,,1.0
2018-11-16T05:57:55Z,,,,0.0
2018-11-16T06:00:00Z,,,0.0,
2018-11-16T06:12:20Z,,,,1.0
2018-11-16T06:12:29Z,,,,0.0
2018-11-16T06:15:00Z,,,0.0,
2018-11-16T06:15:34Z,,1.0,,
2018-11-16T06:21:00Z,,0.0,,
2018-11-16T06:30:00Z,,,0.0,
2018-11-16T06:41:54Z,1.0,,,
2018-11-16T06:43:16Z,0.0,,,
2018-11-16T06:45:00Z,,,0.0,
2018-11-16T06:45:18Z,1.0,,,
2018-11-16T06:46:39Z,0.0,,,
2018-11-16T06:59:35Z,1.0,,,
2018-11-16T07:00:00Z,,,0.0,
2018-11-16T07:00:46Z,0.0,,,
2018-11-16T07:08:36Z,1.0,,,
2018-11-16T07:11:08Z,0.0,,,
2018-11-16T07:15:00Z,,,0.0,
2018-11-16T07:16:34Z,1.0,,,
2018-11-16T07:17:46Z,0.0,,,
2018-11-16T07:19:03Z,,,,1.0
2018-11-16T07:19:12Z,,,,0.0
2018-11-16T07:23:53Z,1.0,,,
2018-11-16T07:25:14Z,0.0,,,
2018-11-16T07:30:00Z,,,0.0,
2018-11-16T07:33:14Z,1.0,,,
2018-11-16T07:34:25Z,0.0,,,
2018-11-16T07:40:32Z,1.0,,,
2018-11-16T07:41:44Z,0.0,,,
2018-11-16T07:45:00Z,,,0.0,
2018-11-16T07:50:34Z,,1.0,,
2018-11-16T07:54:59Z,1.0,,,
2018-11-16T07:55:50Z,,0.0,,
2018-11-16T07:57:18Z,,,,1.0
2018-11-16T07:57:28Z,,,,0.0
2018-11-16T08:00:00Z,,,0.0,
2018-11-16T08:07:14Z,0.0,,,
2018-11-16T08:15:00Z,,,0.0,
2018-11-16T08:21:31Z,1.0,,,
2018-11-16T08:26:37Z,0.0,,,
2018-11-16T08:30:00Z,,,0.0,
2018-11-16T08:33:35Z,1.0,,,
2018-11-16T08:34:56Z,0.0,,,
2018-11-16T08:41:34Z,1.0,,,
2018-11-16T08:42:55Z,0.0,,,
2018-11-16T08:45:00Z,,,0.0,
2018-11-16T08:52:17Z,1.0,,,
2018-11-16T08:53:38Z,0.0,,,
2018-11-16T09:00:00Z,,,0.0,
2018-11-16T09:01:07Z,1.0,,,
2018-11-16T09:04:42Z,0.0,,,
2018-11-16T09:15:00Z,,,0.0,
2018-11-16T09:19:19Z,1.0,,,
2018-11-16T09:20:41Z,0.0,,,
2018-11-16T09:30:00Z,,,0.0,
2018-11-16T09:34:15Z,1.0,,,
2018-11-16T09:39:22Z,0.0,,,
2018-11-16T09:45:00Z,,,0.0,
2018-11-16T09:46:20Z,1.0,,,
2018-11-16T09:49:54Z,0.0,,,
2018-11-16T10:00:00Z,,,0.0,
2018-11-16T10:01:15Z,1.0,,,
2018-11-16T10:02:46Z,0.0,,,
2018-11-16T10:09:14Z,1.0,,,
2018-11-16T10:12:48Z,0.0,,,
2018-11-16T10:15:00Z,,,0.0,
2018-11-16T10:16:51Z,,,,1.0
2018-11-16T10:17:01Z,,,,0.0
2018-11-16T10:17:53Z,1.0,,,
2018-11-16T10:19:15Z,0.0,,,
2018-11-16T10:20:57Z,1.0,,,
2018-11-16T10:22:22Z,,,,1.0
2018-11-16T10:22:33Z,,,,0.0
2018-11-16T10:24:03Z,,,,1.0
2018-11-16T10:24:13Z,,,,0.0
2018-11-16T10:25:43Z,0.0,,,1.0
2018-11-16T10:25:54Z,,,,0.0
2018-11-16T10:26:14Z,,,,1.0
2018-11-16T10:26:24Z,,,,0.0
2018-11-16T10:30:00Z,,,0.0,
2018-11-16T10:31:30Z,1.0,,,
2018-11-16T10:32:51Z,0.0,,,
2018-11-16T10:34:54Z,1.0,,,
2018-11-16T10:38:28Z,0.0,,,
2018-11-16T10:44:55Z,1.0,,,
2018-11-16T10:45:00Z,,,0.0,
2018-11-16T11:00:00Z,,,0.0,
2018-11-16T11:01:14Z,0.0,,,
2018-11-16T11:05:40Z,1.0,,,
2018-11-16T11:07:42Z,0.0,,,
2018-11-16T11:08:30Z,,,,1.0
2018-11-16T11:08:39Z,,,,0.0
2018-11-16T11:10:51Z,,,,1.0
2018-11-16T11:11:00Z,,,,0.0
2018-11-16T11:15:00Z,,,0.0,
2018-11-16T11:19:34Z,,,,1.0
2018-11-16T11:19:43Z,,,,0.0
2018-11-16T11:30:00Z,,,0.0,
2018-11-16T11:42:11Z,,,,1.0
2018-11-16T11:42:21Z,,,,0.0
2018-11-16T11:44:42Z,,,,1.0
2018-11-16T11:44:52Z,,,,0.0
2018-11-16T11:45:00Z,,,0.0,
2018-11-16T11:51:24Z,,,,1.0
2018-11-16T11:51:35Z,,,,0.0
2018-11-16T12:00:00Z,,,0.0,
2018-11-16T12:05:30Z,,,,1.0
2018-11-16T12:05:40Z,,,,0.0
2018-11-16T12:05:49Z,,,,1.0
2018-11-16T12:06:10Z,,,,0.0
